 m_pricelist_version_id | count 
                1000360 |     5
                1000361 |     5
                1000362 |     3
                1000363 |     3
                1000364 |     1
                1000365 |     1
                1000366 |    18
                1000367 |    18
                1000368 |     5
                1000369 |     5
                1000370 |     1
                1000371 |     1
                1000372 |     1
                1000373 |     1
                1000374 |     2
                1000375 |     2
                1000376 |     4
                1000377 |     2
                1000378 |    14
                1000379 |    13
                1000380 |    18
                1000381 |    18
                1000382 |    11
                1000383 |    11
                1000384 |     9
                1000385 |     9
                1000386 |     1
                1000387 |     1
                1000388 |     2
                1000389 |     2
                1000390 |     3
                1000391 |     3
                1000392 |     4
                1000393 |     4
                1000394 |    11
                1000395 |    11
                1000396 |     3
                1000397 |     3
                1000398 |     4
                1000399 |     4
                1000400 |     5
                1000401 |     5
                1000402 |     2
                1000403 |     2
                1000404 |     1
                1000405 |     1
                1000406 |     4
                1000407 |     4
                1000408 |     2
                1000409 |     2
                1000410 |     1
                1000411 |     1
                1000412 |     2
                1000413 |     2
                1000414 |     3
                1000415 |     3
                1000416 |     9
                1000417 |     9
                1000418 |     1
                1000419 |     1
                1000420 |    12
                1000421 |    12
                1000422 |     1
                1000423 |    36
                1000424 |    35
                1000425 |     1
                1000426 |     1
                1000427 |    14
                1000428 |    14
                1000429 |     2
                1000430 |     2
                1000431 |     6
                1000432 |     5
                1000433 |     3
                1000434 |     3
                1000435 |     1
                1000436 |     1
                1000437 |     2
                1000438 |     1
                1000439 |     8
                1000440 |     8
                1000441 |     2
                1000442 |     2
                1000443 |    21
                1000444 |    21
                1000445 |     2
                1000446 |     2
                1000447 |     2
                1000448 |     2
                1000449 |     4
                1000450 |     4
                1000451 |     5
                1000452 |     5
                1000453 |     9
                1000454 |     9
                1000455 |     7
                1000456 |     7
                1000457 |     3
                1000458 |     3
                1000459 |     4
                1000460 |     4
                1000461 |     8
                1000462 |     8
                1000463 |     2
                1000464 |     2
                1000465 |     5
                1000466 |     5
                1000467 |     2
                1000468 |     2
                1000469 |     1
                1000470 |     1
                1000471 |     1
                1000472 |     1
                1000473 |     4
                1000474 |     4
                1000475 |    32
                1000476 |    31
                1000477 |    31
                1000478 |    31
                1000479 |     2
                1000480 |     2
                1000481 |     1
                1000482 |     1
                1000483 |     2
                1000484 |     2
                1000485 |     2
                1000486 |     2
                1000487 |     1
                1000488 |     1
                1000489 |     2
                1000490 |     2
                1000491 |    49
                1000492 |    49
                1000493 |    49
                1000494 |    28
                1000495 |    19
                1000496 |    19
                1000497 |     1
                1000498 |     1
                1000499 |    14
                1000500 |    12
                1000501 |     1
                1000502 |     1
                1000503 |    20
                1000504 |    20
                1000505 |    12
                1000506 |    12
                1000507 |    18
                1000508 |    18
                1000509 |    11
                1000510 |    11
                1000511 |    14
                1000512 |     4
                1000513 |     4
                1000514 |     3
                1000515 |     3
                1000516 |     1
                1000517 |     1
                1000518 |     1
                1000519 |     1
                1000520 |    24
                1000521 |    24
                1000522 |    10
                1000523 |     4
                1000524 |    20
                1000525 |    20
                1000526 |    12
                1000527 |    11
                1000528 |     9
                1000529 |     9
                1000530 |    19
                1000531 |    10
                1000532 |    97
                1000533 |    97
                1000534 |   112
                1000535 |   108
                1000536 |     7
                1000537 |     7
                1000538 |    39
                1000539 |    37
                1000540 |     8
                1000541 |     6
                1000542 |     5
                1000543 |     5
                1000544 |    11
                1000545 |    10
                1000546 |    53
                1000547 |    53
                1000548 |     4
                1000549 |     4
                1000550 |    47
                1000551 |    25
                1000552 |    22
                1000553 |    22
                1000554 |    32
                1000555 |    32
                1000556 |     4
                1000557 |     4
                1000558 |    11
                1000559 |    24
                1000560 |    24
                1000561 |    35
                1000562 |    35
                1000563 |    18
                1000564 |    18
                1000565 |     3
                1000566 |     3
                1000567 |     3
                1000568 |     3
                1000569 |    10
                1000570 |     9
                1000571 |     5
                1000572 |    12
                1000573 |     1
                1000574 |     6
                1000575 |     5
                1000576 |    14
                1000577 |    13
                1000578 |     5
                1000579 |     5
                1000580 |    11
                1000581 |    11
                1000582 |    60
                1000583 |     7
                1000584 |    18
                1000585 |    18
                1000586 |    65
                1000587 |    65
                1000588 |     2
                1000589 |     2
                1000590 |    10
                1000591 |    10
                1000592 |    55
                1000593 |    47
                1000594 |     8
                1000595 |     8
                1000596 |    21
                1000597 |    21
                1000598 |     1
                1000599 |     1
                1000600 |     1
                1000601 |     1
                1000602 |     3
                1000603 |     3
                1000604 |     1
                1000605 |     1
                1000606 |     3
                1000607 |     2
                1000608 |    17
                1000609 |    17
                1000610 |    19
                1000611 |    19
                1000612 |    26
                1000613 |    26
                1000614 |    37
                1000615 |    37
                1000616 |     3
                1000617 |     3
                1000618 |    54
                1000619 |    33
                1000620 |    73
                1000621 |    20
                1000622 |     1
                1000623 |     1
                1000624 |    37
                1000625 |     3
                1000626 |     2
                1000627 |     2
                1000628 |     5
                1000629 |     5
                1000630 |    13
                1000631 |    13
                1000632 |    18
                1000633 |    18
                1000634 |    27
                1000635 |    27
                1000636 |     9
                1000637 |     9
                1000638 |    10
                1000639 |     6
                1000640 |     3
                1000641 |     3
                1000642 |   301
                1000643 |    19
                1000644 |    12
                1000645 |   143
                1000646 |     2
                1000647 |     2
                1000648 |     5
                1000649 |     5
                1000650 |    27
                1000651 |    27
                1000652 |     8
                1000653 |     8
                1000654 |     7
                1000655 |     8
                1000656 |     1
                1000657 |     1
                1000658 |     6
                1000659 |     6
                1000660 |    50
                1000661 |    50
                1000662 |    64
                1000663 |     3
                1000664 |     5
                1000665 |     5
                1000666 |    16
                1000667 |    16
                1000668 |     8
                1000669 |     8
                1000670 |     2
                1000671 |     1
                1000672 |     2
                1000673 |     2
                1000674 |     1
                1000675 |     1
                1000676 |     1
                1000677 |     1
                1000678 |     1
                1000679 |     1
                1000680 |     1
                1000681 |     1
                1000682 |    12
                1000683 |    12
                1000684 |     2
                1000685 |     2
                1000686 |     2
                1000687 |     1
                1000688 |     1
                1000689 |     1
                1000690 |    16
                1000691 |    16
                1000692 |     5
                1000693 |     5
                1000694 |     8
                1000695 |     8
                1000696 |     1
                1000697 |     1
                1000698 |    10
                1000699 |    10
                1000700 |     3
                1000701 |     3
                1000702 |    10
                1000703 |    10
                1000704 |     1
                1000705 |     1
                1000706 |     3
                1000707 |     2
                1000708 |     6
                1000709 |     6
                1000710 |     5
                1000711 |     5
                1000712 |     2
                1000713 |     2
                1000714 |    11
                1000715 |    10
                1000716 |     7
                1000717 |     7
                1000718 |    39
                1000719 |    39
                1000720 |    28
                1000721 |     2
                1000722 |     1
                1000723 |     2
                1000724 |     1
                1000725 |     1
                1000726 |     2
                1000727 |     2
                1000728 |     3
                1000729 |     3
                1000730 |    10
                1000731 |     5
                1000732 |     5
                1000733 |    22
                1000734 |    22
                1000735 |    13
                1000736 |    12
                1000737 |     1
                1000738 |     1
                1000739 |     2
                1000740 |     2
                1000741 |     2
                1000742 |     2
                1000743 |     4
                1000744 |     3
                1000745 |     3
                1000746 |     3
                1000747 |    50
                1000748 |    50
                1000749 |    10
                1000750 |    10
                1000751 |    20
                1000752 |    13
                1000753 |    12
                1000754 |    13
                1000755 |    13
                1000756 |    18
                1000757 |    18
                1000758 |     3
                1000759 |     2
                1000760 |     2
                1000761 |     3
                1000762 |     3
                1000763 |    15
                1000764 |     9
                1000765 |     2
                1000766 |     2
                1000767 |     1
                1000768 |     4
                1000769 |     4
                1000770 |     7
                1000771 |     7
                1000772 |    11
                1000773 |    11
                1000774 |     8
                1000775 |     8
                1000776 |     1
                1000777 |     1
                1000778 |     2
                1000779 |     2
                1000780 |    40
                1000781 |    40
                1000782 |    13
                1000783 |    10
                1000784 |     4
                1000785 |     4
                1000786 |    13
                1000787 |    13
                1000788 |     4
                1000789 |     4
                1000790 |    19
                1000791 |     5
                1000792 |     5
                1000793 |     3
                1000794 |     3
                1000795 |     3
                1000796 |     3
                1000797 |     4
                1000798 |     4
                1000799 |     1
                1000800 |     1
                1000801 |     4
                1000802 |     4
                1000803 |     4
                1000804 |     4
                1000805 |     7
                1000806 |     7
                1000807 |    11
                1000808 |     4
                1000809 |     1
                1000810 |     1
                1000811 |     2
                1000812 |     2
                1000813 |    15
                1000814 |    15
                1000815 |     5
                1000816 |     5
                1000817 |     1
                1000818 |     1
                1000819 |     4
                1000820 |     1
                1000821 |     7
                1000822 |    12
                1000823 |     3
                1000824 |    23
                1000825 |     2
                1000826 |     5
                1000827 |     2
                1000828 |     7
                1000829 |     6
                1000830 |     2
                1000831 |     2
                1000832 |   263
                1000833 |   206
                1000834 |    10
                1000835 |    10
                1000836 |     3
                1000837 |     3
                1000838 |    33
                1000839 |    12
                1000840 |    12
                1000841 |    11
                1000842 |     1
                1000843 |     1
                1000844 |    20
                1000845 |    19
                1000846 |    34
                1000847 |    20
                1000848 |     3
                1000849 |     3
                1000850 |    12
                1000851 |     4
                1000852 |     9
                1000853 |     9
                1000854 |    39
                1000855 |    38
                1000856 |     3
                1000857 |     3
                1000858 |     5
                1000859 |     5
                1000860 |    10
                1000861 |    10
                1000862 |    27
                1000863 |    27
                1000864 |     9
                1000865 |     9
                1000866 |     3
                1000867 |     3
                1000868 |     3
                1000869 |     3
                1000870 |     1
                1000871 |     1
                1000872 |    15
                1000873 |    11
                1000874 |     5
                1000875 |     5
                1000876 |    37
                1000877 |    36
                1000878 |     6
                1000879 |     5
                1000880 |     2
                1000881 |     2
                1000882 |     1
                1000883 |     1
                1000884 |     2
                1000887 |    30
                1000888 |    30
                1000889 |     2
                1000890 |     2
                1000891 |    24
                1000892 |    10
                1000893 |     8
                1000894 |     8
                1000895 |     7
                1000896 |    13
                1000897 |    13
                1000898 |     2
                1000899 |   493
                1000901 |   493
                1000902 |     4
                1000903 |     2
                1000904 |     2
                1000905 |    23
                1000906 |    23
                1000907 |     2
                1000908 |     2
                1000909 |     7
                1000910 |     5
                1000911 |    13
                1000912 |    13
                1000913 |    17
                1000914 |     7
                1000915 |     5
                1000916 |     2
                1000917 |     1
                1000918 |     3
                1000919 |     3
                1000920 |     1
                1000921 |     1
                1000922 |    11
                1000923 |     4
                1000924 |     2
                1000925 |     1
                1000930 |     1
                1000931 |     1
                1000932 |   136
                1000933 |   136
                1000936 |    43
                1000937 |    43
                1000938 |     1
                1000939 |     1
                1000940 |    50
                1000941 |    50
                1000942 |     2
                1000943 |     2
                1000944 |     1
                1000945 |     1
                1000950 |     1
                1000951 |     1
                1000952 |     2
                1000953 |     2
                1000954 |     6
                1000955 |     1
                1000956 |     3
                1000957 |     3
                1000964 |     1
                1000965 |     7
                1000966 |    11
                1000967 |    10
                1000968 |     2
                1000969 |     2
                1000970 |    19
                1000971 |    14
                1000972 |     2
                1000973 |     2
                1000977 |     8
                1000978 |     8
                1000979 |    17
                1000980 |     6
                1000983 |    23
                1000985 |     7
                1000986 |     2
                1000987 |    42
                1000988 |    40
                1000989 |   128
                1000990 |   128
                1000993 |    14
                1000994 |    14
                1000995 |  6725
                1000998 |     3
                1000999 |     3
                1001000 |     3
                1001003 |    81
                1001004 |    80
                1001005 |     6
                1001006 |     6
                1001009 |    17
                1001010 |    17
                1001011 |     7
                1001012 |     7
                1001013 |     7
                1001014 |     2
                1001016 |     1
                1001017 |     1
                1001018 |     1
                1001019 |    10
                1001020 |    10
                1001021 |   228
                1001022 |   228
                1001025 |    29
                1001026 |    22
                1001027 |     1
                1001030 |    17
                1001031 |    17
                1001032 |     1
                1001035 |    20
                1001036 |    20
                1001037 |     3
                1001039 |    15
                1001040 |    15
                1001041 |    19
                1001042 |    19
                1001043 |    10
                1001046 |     1
                1001047 |     1
                1001048 |     1
                1001049 |     2
                1001050 |     2
                1001051 |     2
                1001054 |   140
                1001055 |   137
                1001056 |     1
                1001060 |     7
                1001061 |     7
                1001062 |     6
                1001063 |    10
                1001064 |    10
                1001065 |     6
               20001700 |    15
               20001701 |     1
               20001702 |     9
               20001703 |    28
               20001704 |    27
               20001705 |    27
               20001706 |   454
               20001707 |     1
               20001708 |     1
               20001709 |     1
               20001710 |     1
               20001711 |    11
               20001712 |    11
               20001713 |     6
               20001714 |     6
               20001715 |     1
               20001716 |     1
               20001717 |     1
               20001718 |    11
               20001719 |     2
               20001720 |     1
              200002000 |     1
              200002001 |     1
              200002002 |     1
              200002003 |     1
              200002004 |     4
              200002005 |     4
              200002006 |     8
              200002007 |     8
              200002008 |     2
              200002009 |     2
              200002010 |     3
              200002011 |     3
              200002012 |     2
              200002013 |     2
              200002014 |     4
              200002015 |     4
              200002016 |    38
              200002017 |     5
              200002018 |     1
              200002019 |     2
              200002020 |     2
              200002021 |     5
              200002022 |     5
              230000001 |    12
              230000002 |    12
              230000003 |    60
              230000004 |    60
              230000005 |    13
              230000006 |    13
              230000007 |     2
              230000008 |     2
              230000009 |     9
              230000010 |     9
              230000011 |     2
              230000012 |     2
              230000013 |     3
              230000014 |     3
              230000015 |     1
              230000016 |     1
              230000017 |     4
              230000018 |     4
              230000019 |     4
              230000020 |     4
              230000021 |     6
              230000022 |     6
              230000023 |     5
              230000024 |     5
              230000025 |     2
              230000026 |     2
              230000027 |     2
              230000028 |     2
              230000029 |     2
              230000030 |     2
              230000031 |     2
              230000032 |     2
              230000033 |    25
              230000034 |    25
              230000035 |    11
              230000036 |    11
              230000037 |     9
              230000038 |     9
              230000039 |     6
              230000040 |     6
              230000041 |     1
              230000042 |     1
              230000043 |     9
              230000044 |     9
              230000045 |   227
              230000046 |     9
              230000047 |     5
              230000048 |     5
              230000049 |     2
              230000050 |     2
              230000051 |     1
              230000052 |     1
              230000053 |     5
              230000054 |     5
              230000055 |    32
              230000056 |    32
              230000057 |     1
              230000058 |     1
              230033300 |     1
              230033301 |     1
              230033302 |     1
              230033303 |     1
              230033304 |    10
              230033305 |    10
              230033306 |     2
              230033307 |     2
              230033308 |     3
              230033309 |     3
              230033310 |     7
              230033311 |     7
              230033312 |     3
              230033313 |     3
              230033314 |     1
              230033315 |     1
              230033316 |     4
              230033317 |     4
              230033318 |    10
              230033319 |    10
              230033320 |     9
              230033321 |     9
              230033322 |     6
              230033323 |     6
              230033324 |     8
              230033325 |     8
              230033326 |     2
              230033327 |     2
              230033328 |     1
              230033329 |     9
              230033330 |     9
              230033331 |     2
              230033332 |     2
              230033333 |    31
              230033334 |     7
              230033335 |     7
              230033336 |    16
              230033337 |    16
              230033338 |     5
              230033339 |    12
              230033340 |    12
              230033341 |   464
              230033342 |    14
              230033343 |    14
              230033344 |     5
              230033345 |    64
              230033346 |     7
              230033347 |     7
              230033348 |    22
              230033349 |    22
              230033350 |     1
              230033351 |     1
              230033352 |     2
              230033353 |     2
              230033354 |    33
              230033355 |     4
              230033356 |    14
              230033357 |    14
              230033358 |    13
              230033359 |    13
              230033360 |     1
              230033361 |     1
              230033362 |     1
              230033363 |    30
              230033364 |     8
              230033365 |     1
              230033366 |     1
              230033367 |     1
              230033368 |    11
              230033369 |    11
              230033370 |    11
              230033371 |    16
              230033372 |    16
              230033373 |    30
              230033374 |    30
              230033375 |    34
              230033376 |    34
              230033377 |    12
              230033378 |    12
              230033379 |    17
              230033380 |    12
              230033381 |     5
              230033382 |     5
              230033383 |     1
              230033384 |     2
              230033385 |     2
              230033386 |     5
              230033387 |     5
